Facility Id,Facility Name,FRS Id,City,State,Zip Code,Latest Reporting Year,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Is_Direct_Emitter,Is_Supplier,Basin,State where Emissions Occur,Does the facility employ continuous emissions monitoring? ,Parent Company,Parent Ownership %
1004120,WISCONSIN ELECTRIC POWER COMPANY,110043812746.0,MILWAUKEE,WI,53201,2015,231 W. MICHIGAN ST.,MILWAUKEE COUNTY,43.03741,-87.91381,221210.0,"NN-LDC,W-LDC",,False,True,,,,WEC ENERGY GROUP,100.0
1004293,WISCONSIN GAS COMPANY,110043812746.0,MILWAUKEE,WI,53201,2015,231 W. MICHIGAN ST.,MILWAUKEE COUNTY,43.03741,-87.91381,221210.0,"NN-LDC,W-LDC",,False,True,,,,WEC ENERGY GROUP,100.0
1004827,Waha Gas Plant,110043807814.0,Coyanosa,TX,79730,2015,1146 South County Road 101,PECOS COUNTY,31.159975,-103.104845,211111.0,"C,PP,UU,W-PROC",,False,True,,,,ENTERPRISE PRODUCTS PARTNERS LP,100.0
1010779,"Wal-Mart Stores, Inc.",110041295871.0,Bentonville,AR,72716,2015,508 SW 8th Street,BENTON COUNTY,36.364325,-94.216604,452112.0,"OO,QQ",,False,True,,,,WAL-MART STORES INC ,100.0
1007849,Washington Gas Light Company (MD),110000826250.0,Springfield,VA,22151,2015,6801 Industrial Road,FAIRFAX COUNTY,38.798414,-77.179308,221210.0,"NN-LDC,W-LDC",,False,True,,,,WGL HOLDINGS INC,100.0
1007850,Washington Gas Light Company (VA),110000826250.0,Springfield,VA,22151,2015,6801 Industrial Rd,FAIRFAX COUNTY,38.798414,-77.179308,221210.0,"NN-LDC,W-LDC",,False,True,,,,WGL HOLDINGS INC,100.0
1003558,Waterville Gas & Oil Company,110043796390.0,Waterville,OH,43566,2015,700 Farnsworth Rd.,LUCAS COUNTY,41.49918,-83.72691,221210.0,NN-LDC,,False,True,,,,WATERVILLE GAS & OIL CO,100.0
1006635,Waterville Gas Company,110043796390.0,Waterville,OH,43566,2015,700 Farnsworth Rd.,LUCAS COUNTY,41.49918,-83.72691,221210.0,NN-LDC,,False,True,,,,WATERVILLE GAS & OIL CO,100.0
1014030,Waysmos USA Inc,,Austin,TX,78723,2015,2032 Robert Browning St,,30.2994200154882,-97.7019253408087,424690.0,OO,,False,True,,,,Waysmos USA Inc,100.0
1000710,Weitron Inc,110070081768.0,Newark,DE,19702,2015,801 Pencader Dr.,NEW CASTLE COUNTY,39.61118,-75.76907,423740.0,OO,,False,True,,,,WEITRON INC,100.0
1008932,West Texas Fractionator,110056961480.0,Mont Belvieu,TX,77580,2015,10207 FM 1942,CHAMBERS COUNTY,29.857573,-94.912893,211112.0,NN-FRAC,,False,True,,,,ENTERPRISE PRODUCTS PARTNERS LP,75.0
1003401,Westfield Gas Corporation,110043795854.0,Indianapolis,IN,46202,2015,2020 North Meridian Street,MARION COUNTY,39.79398,-86.15734,221210.0,NN-LDC,,False,True,,,,CITIZENS ENERGY GROUP,100.0
1011985,Wharf Enterprises LLC,110070082155.0,Miami,FL,33132,2015,"900 Biscayne Blvd, Suite 502",MIAMI-DADE COUNTY,25.7832,-80.18955,424690.0,OO,,False,True,,,,TRADEQUIM LLC,100.0
1004436,"Wheeler Basin Natural Gas Company, Inc.",110043794551.0,Moulton,AL,35650,2015,3960 County Road 434,LAWRENCE COUNTY,34.531259,-87.15914,221210.0,NN-LDC,,False,True,,,,JOE WHEELER ELECTRIC MEMBERSHIP CORP,100.0
1010295,Whirlpool Corporation,110018927303.0,Benton Harbor,MI,49085,2015,2000 N. M-63,BERRIEN COUNTY,42.150646,-86.444894,332510.0,QQ,,False,True,,,,WHIRLPOOL CORP,100.0
1010403,"Williams Olefins, LLC (HQ)",110055520627.0,Tulsa,OK,74172,2015,"One Williams Center, WRC2",WAGONER COUNTY,36.08256,-95.67228,325110.0,MM-IMP,,False,True,,,,"WILLIAMS PARTNERS, LP",100.0
1002025,Wisconsin Power & Light Gas Distribution,110043797424.0,Madison,WI,53718,2015,4902 North Biltmore Lane,DANE COUNTY,43.15217,-89.29624,221210.0,"NN-LDC,W-LDC",,False,True,,,,ALLIANT ENERGY CORP,100.0
1002250,Wisconsin Public Service Corporation,110043797433.0,Green Bay,WI,54307,2015,700 North Adams,BROWN COUNTY,44.518347,-88.011616,221210.0,"NN-LDC,W-LDC",,False,True,,,,WEC Energy Group,100.0
1008505,Womack Hill Gas Plant,110000719624.0,Gilbertown,AL,36908,2015,600 Chestnut Road,CHOCTAW COUNTY,31.844174,-88.184868,211112.0,NN-FRAC,,False,True,,,,PRUET PRODUCTION CO,100.0
1007696,Worland Gas Plant,110000716226.0,Worland,WY,82401,2015,,WASHAKIE COUNTY,44.1276,-107.9114,211112.0,NN-FRAC,,False,True,,,,DEVON ENERGY CORP,100.0
1009493,Wyoming Gas Company,110043969417.0,Worland,WY,82401,2015,101 Division St,WASHAKIE COUNTY,44.01585,-107.97212,221210.0,NN-LDC,,False,True,,,,NATURAL GAS PROCESSING CO,100.0
1004143,XTO - Castle Valley,110007903858.0,Price,UT,84501,2015,3460 S. 3350 West,CARBON COUNTY,39.55168,-110.81584,211111.0,"C,PP,W-PROC",,False,True,,,,EXXON MOBIL CORP,100.0
1007107,Yankee Gas Supply,110033645580.0,Berlin,CT,6037,2015,107 Selden Street,HARTFORD COUNTY,41.648374,-72.727969,221210.0,"NN-LDC,W-LDC",,False,True,,,,Eversource Energy,100.0
1006992,York County Natural Gas Authority,110016976085.0,Rock Hill,SC,29730,2015,979 W. Main Street,YORK COUNTY,34.936044,-81.042738,221210.0,NN-LDC,,False,True,,,,YORK COUNTY NATURAL GAS AUTHORITY,100.0
1000094,Zia Natural Gas Company,110043969765.0,Ruidoso Downs,NM,88346,2015,100 Short Drive,LINCOLN COUNTY,33.32979,-105.59491,221210.0,NN-LDC,,False,True,,,,NATURAL GAS PROCESSING CO,100.0
1004910,city of statesboro,110043807912.0,Statesboro,GA,30459,2015,50 East Main Street,BULLOCH COUNTY,32.44883,-81.78166,221210.0,NN-LDC,,False,True,,,,CITY OF STATESBORO,100.0
1010967,terrebonne parish consolidated government,110003363119.0,houma,LA,70306,2015,301 plant road,TERREBONNE PARISH,29.59106,-90.69955,221210.0,NN-LDC,,False,True,,,,TERREBONNE PARISH CONSOLIDATED GOVERNMENT,100.0
1002853,ABBOTT NUTRITION,110017421226.0,STURGIS,MI,49091,2016,901 NORTH CENTERVILLE ROAD,ST. JOSEPH COUNTY,41.8095,-85.426,311514.0,C,Other,True,False,,,,ABBOTT LABORATORIES,100.0
1001633,ADS-CEDAR HILL LANDFILL,110070081800.0,RAGLAND,AL,35131,2016,1319 NO BUSINESS CREEK ROAD,ST. CLAIR COUNTY,33.676247,-86.25444,562212.0,HH,Waste,True,False,,,,ADS WASTE HOLDINGS INC,100.0
1004823,AL TURI LANDFILL & LFGTE FACILITY,110060832407.0,GOSHEN,NY,10924,2016,73 HARTLEY ROAD,ORANGE COUNTY,41.40646,-74.37313,562212.0,"C,HH",Waste,True,False,,,,AL TURI LANDFILL INC,100.0
1005006,"ALLEGHENY LUDLUM, BAGDAD FACILITY",110042036597.0,LEECHBURG,PA,15656,2016,585 SILICON DRIVE,WESTMORELAND COUNTY,40.64008,-79.61118,331111.0,C,Metals,True,False,,,,ALLEGHENY TECHNOLOGIES INC,100.0
1005413,AMGEN INC,110071159286.0,THOUSAND OAKS,CA,91320,2016,1 AMGEN CENTER DRIVE M/S 21-2-A,VENTURA COUNTY,34.181067,-118.947042,325414.0,C,Chemicals,True,False,,,,AMGEN INC,100.0
1002734,ANHEUSER BUSCH LLC,110000482825.0,FAIRFIELD,CA,94534,2016,3101 BUSCH DRIVE,SOLANO COUNTY,38.23906,-122.09023,312120.0,C,Other,True,False,,,,ANHEUSER-BUSCH INBEV,100.0
