Direct Point Emitters,Facility Id,Facility Name,GHG Quantity Associated with CO2 Supply ,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Produced,Gathering & Boosting,LDC - Direct Emissions,Onshore Oil & Gas Prod.,SF6 from Elec. Equip.,Transmission Pipelines,Year,Parent Company,Parent Ownership %,Total Direct Emissions,Total Supplier Emissions
30495.836,1003492,HANK NIKKELS PLANT ONE,,,,,,,,,,,,,2015,MUNICIPALITY OF ANCHORAGE,100.0,30495.836,0.0
361125.834,1003493,GEORGE SULLIVAN PLANT TWO,,,,,,,,,,,,,2015,MUNICIPALITY OF ANCHORAGE,100.0,361125.834,0.0
52337.252,1003494,JW Aluminum,,,,,,,,,,,,,2015,WELLSPRING CAPITAL MANAGEMENT LLC,100.0,52337.252,0.0
33367.02,1003495,"Cargill, Inc.",,,,,,,,,,,,,2015,CARGILL INC,100.0,33367.02,0.0
52992.0,1003496,ASHLEY Energy LLC,,,,,,,,,,,,,2015,VEOLIA ENVIRONMENT NORTH AMERICAN OPERATIONS INC,100.0,52992.0,0.0
4023.3,1003497,The Matt Brewery Company,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2015,MATT BREWING CO INC,100.0,4023.3,0.0
106773.648,1003498,POET BIOREFINING,,,,,,,,,,,,,2015,POET LLC,100.0,106773.648,0.0
134934.61,1003501,EVERGREEN PACKAGING-PINE BLUFF,,,,,,,,,,,,,2015,REYNOLDS GROUP HOLDINGS INC,100.0,134934.61,0.0
23215.75,1003505,MONROE COUNTY LANDFILL,,,,,,,,,,,,,2015,MONROE COUNTY SOLID WASTE MANAGEMENT DISTRICT,100.0,23215.75,0.0
59965.418,1003506,GENERAL MOTORS FORT WAYNE ASSEMBLY,,,,,,,,,,,,,2015,GENERAL MOTORS LLC,100.0,59965.418,0.0
33824.528,1003507,"Gerdau Ameristeel US, Inc - Charlotte Mill",,,,,,,,,,,,,2015,GERDAU USA INC,100.0,33824.528,0.0
202831.432,1003508,SANDERS LEAD COMPANY INCORPORATED,,,,,,,,,,,,,2015,SANDERS LEAD CO INC,100.0,202831.432,0.0
4048.25,1003509,CHAIN OF ROCKS RECYCLING & DISPOSAL,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,4048.25,0.0
11358.764,1003511,Eastern Gas Transmission and Storage - Finnefrock Station (Tran),,,,,,,,,,,,,2015,DOMINION RESOURCES INC,100.0,11358.764,0.0
64406.526,1003512,Eastern Gas Transmission and Storage - Greenlick and Little Greenlick Stations (Stor and Tran),,,,,,,,,,,,,2015,DOMINION RESOURCES INC,100.0,64406.526,0.0
30334.136,1003513,Ingredion Inc.,,,,,,,,,,,,,2015,INGREDION INC,100.0,30334.136,0.0
60215.0,1003514,CENTRAL MISSOURI LANDFILL,,,,,,,,,,,,,2015,WCA WASTE CORP,100.0,60215.0,0.0
,1003515,Brownsville Utilities,0.0,0.0,0.0,45732.4,0.0,0.0,0.0,,,,,,2015,BROWNSVILLE ENERGY AUTHORITY,100.0,0.0,45732.4
